port_name,port_id,port_lat,port_lon,port_iso3,continent,betweenness_centrality,k_core,hub_score,authority_score,pagerank_score,import_cluster,export_cluster,import_cluster_rolebased,export_cluster_rolebased
Sydney_Australia,port1243,-33.85321044637644,151.18561722519004,AUS,AUST,9.087119192357429e-05,68,0.0004047551289887331,0.0003368440247539186,0.0003290601318300735,3,0,1,0
Sydney_Canada,port1244,48.68674921280944,-123.41071065948164,CAN,NOAM,0.0,3,1.4881012514632699e-05,3.6724614281350753e-06,0.0001246110747330123,3,0,1,0
Sydney_U.S.A.,port1245,46.17600890802396,-60.216596410733935,USA,NOAM,4.623005539227505e-05,39,0.00019476047695017796,8.378470053581059e-05,0.00027634245143302665,1,4,2,2
Szczecin_Poland,port1246,53.4378214804216,14.587266396561752,POL,EURO,0.002069501716708417,117,0.0012619457144297816,0.0012943580018562218,0.0015437346218856822,4,3,5,4
Tachibana_Japan,port1247,33.87071976243685,134.65140045904812,JPN,ASIA,8.893482872399618e-05,109,0.000738554318975626,0.0007718186435114766,0.0006729696355548978,3,0,1,0
Tacoma_U.S.A.,port1248,47.253565796308976,-122.3912123332584,USA,NOAM,0.00016894210656997411,111,0.0007989035965331089,0.0007665776686046905,0.0006347191113921394,3,0,1,0
Taganrog_Russia,port1249,47.20266132301744,38.950068572673736,RUS,EURO,7.643624961119483e-05,74,0.00038468552397135947,0.0003757461468785343,0.0005290362055099408,0,1,4,1
Tagonoura Ko_Japan,port1250,35.14338651515708,138.6940490836872,JPN,ASIA,6.900711727618126e-05,103,0.000771954533116995,0.0005838348101220946,0.000562790726381798,3,0,1,0
Tahaa_French Polynesia,port1251,-16.618994718785025,-151.545700775106,PYF,AUST,0.0,4,1.0655302817826716e-06,1.3957499888289356e-06,0.0003422778158931489,2,2,0,3
Tai-Chung Kang_Taiwan,port1252,24.25457117626789,120.50496684104618,TWN,ASIA,0.0036122702333094537,119,0.0022247608634083033,0.0022092712438051016,0.001928854108016768,3,0,1,0
Taicang_China,port1253,31.687515747280568,121.1376159719744,CHN,ASIA,0.005631243629219788,119,0.002510905382459595,0.0020765590138105985,0.0019249076193192467,3,0,1,0
Takamatsu_Japan,port1254,34.355808925046986,134.06812641662805,JPN,ASIA,2.2413641578875212e-05,83,0.00046322364500000227,0.000489996416838636,0.0004903219973768162,3,0,1,0
Takoradi_Ghana,port1255,4.891730058849944,-1.7419344206991512,GHA,AFRI,0.0004397975787050633,115,0.0007822588156963423,0.0006895996416380378,0.0006562726365932145,0,1,4,1
Takuma_Japan,port1256,34.23252565297621,133.6784881818692,JPN,ASIA,4.6840187482404915e-06,82,0.0004642759420547731,0.0004591234759916909,0.00045132075937278374,3,0,1,0
Talara_Peru,port1257,-4.5810805849679,-81.28140118367163,PER,SOAM,3.9107456268893304e-05,64,0.000338893625696124,0.0002879809824229248,0.00034337254259631656,1,4,2,2
Talinn_Estonia,port1258,59.44859983102633,24.71265826947024,EST,EURO,0.0004941100347916472,108,0.0006825858669672521,0.0008303076409840332,0.000994804423206618,4,3,5,4
Tampa_U.S.A.,port1259,27.89834074972568,-82.41979138966131,USA,NOAM,0.0010106593545374,119,0.000987476600268935,0.0009328127470666381,0.0010566159374904406,1,4,2,2
Tampico_Mexico,port1260,22.249809753048027,-97.82483356061508,MEX,NOAM,0.0005630465816151288,99,0.000564597233465588,0.0005030511685184314,0.000771987456481307,1,4,2,2
Tan-Shui_Taiwan,port1261,25.156631442990157,121.38071888832091,TWN,ASIA,0.00040903321814483845,119,0.0011179499871305876,0.0013284995597624511,0.000952445639968135,3,0,1,0
Tanah Merah_Indonesia,port1262,-1.8201767410651728,116.15672388551084,IDN,ASIA,7.84800815341174e-08,7,2.72063466028124e-05,1.3032234683258475e-05,0.00013268275562500887,3,0,1,0
Tananger_Norway,port1263,58.92416802078471,5.591875674776676,NOR,EURO,0.0001369896387477277,102,0.0005518499622524883,0.0005804024885283879,0.0006885107645007488,4,3,5,4
Tangier-Mediterranean_Morocco,port1265,35.87985242254127,-5.511023901318204,MAR,AFRI,0.0009137381112001017,119,0.0014321501732547808,0.001518689745530113,0.0012900937391636103,0,1,4,1
Tangshan (Jingtang)_China,port1266,39.23528919041797,119.02124691645976,CHN,ASIA,0.0008828893175222348,119,0.0018476356696060714,0.0016949166497805996,0.0013334661781378564,3,0,1,0
Tanjung Benete_Indonesia,port1267,-8.901785946976817,116.74487753204043,IDN,ASIA,3.779419462211881e-05,44,0.0002237326681064022,0.00019944992051880827,0.0002981908038480229,3,0,1,0
Tanjung Geren_Indonesia,port1268,-5.963722373924438,105.9991514873678,IDN,ASIA,0.00020412145680186487,98,0.0005540762943256619,0.0007252542117623705,0.0006094505693563501,3,0,1,0
